Issue Type,Key,Epic Link,Journey,Wave,Summary,Description,Acceptance Criteria,Personas,Modules,Priority,T-Shirt,Depends On,Flags
"Story","J5-E4-S2","J5-E4","J5 Leadership Reporting","5","Refuse to report on thin cohorts","As a Sports Secretary, I want the benchmark to stay silent when the sample is too small, so that we can't reverse-engineer another institution's numbers.","Given fewer than five institutions match a comparison cohort
Then the benchmark shows ""insufficient data"" rather than a figure
And my own institution is excluded from the cohort it is compared against
And personal organisations are excluded from every aggregate","Sports Secretary","08b","P1","","",""
"Story","J5-E4-S3","J5-E4","J5 Leadership Reporting","5","Benchmarking is opt-in per institution","As a Sports Secretary, I want benchmarking to be a deliberate setting, so that we aren't compared without our knowledge.","Given benchmarking is disabled for my institution
Then the tab is not shown and the endpoint refuses the request","Sports Secretary","08b","P1","","",""
"Epic","J5-E5","","J5 Leadership Reporting","5","Annual Sports Impact Report","An institution can produce a branded, exportable annual report from verified data.","","Sports Secretary","08c","P1","L","J5-E1, J4-E7",""
"Story","J5-E5-S1","J5-E5","J5 Leadership Reporting","5","Generate the report","As a Sports Secretary, I want to generate our annual impact report, so that I have something to put in front of the board.","When I generate the report for a season
Then it is produced as a background job with a progress indicator
And the branded output reads ""IIM BANGALORE — SPORTS IMPACT 2025–26 · Powered by Sportagon EOS · Verified data""
And it contains headline metrics, participation, performance and inclusion sections
And every figure derives from locked results only","Sports Secretary","08c","P1","","",""
"Story","J5-E5-S2","J5-E5","J5 Leadership Reporting","5","Auto-drafted executive summary","As a Sports Secretary, I want a written summary I can edit, so that I'm not writing the narrative from scratch.","Then a summary is drafted from the computed figures
And every number in it matches the charts beside it exactly
And I can edit it before exporting
And my edits are preserved on re-export of the same season","Sports Secretary","08c","P1","","",""
"Story","J5-E5-S3","J5-E5","J5 Leadership Reporting","5","Export in the format I need","As a Sports Secretary, I want PDF and Excel exports, so that I can circulate it and work with the underlying numbers.","When I export
Then a branded PDF renders server-side with our logo
And an Excel export carries the underlying figures with formatted headers
And charts are rendered server-side and embedded as images
And the export is recorded in the audit trail","Sports Secretary","08c","P1","","",""
"Story","J5-E5-S4","J5-E5","J5 Leadership Reporting","5","Report and export never disagree","As a Sports Secretary, I want the exported document to match the screen, so that I'm not caught out in the meeting.","Given I view a report and export the same season
Then every figure is identical
And both are produced from the same computed result, not two calculation paths","Sports Secretary","08c","P1","","",""
"Epic","J4-E10","","J4 The Verified Record","held","Right to erasure","A person can have their personal data erased without falsifying anyone else's competition record.","","Player, Sports Secretary","04b","P0","M","J4-E2","blocked-on-decision"
"Story","J4-E10-S1","J4-E10","J4 The Verified Record","held","Request erasure","As a Player, I want to request erasure of my personal data, so that I can exercise my rights.","When I request erasure
Then I am shown exactly what will be deleted and what will be retained, and why
And I must confirm explicitly
And the request is recorded in the audit trail","Player, Sports Secretary","04b","P0","","",""
"Story","J4-E10-S2","J4-E10","J4 The Verified Record","held","Erase identity, retain the record","As a Sports Secretary, I want match results to survive an erasure, so that other participants' records aren't falsified.","Given an erasure is executed
Then name, email, phone, avatar, date of birth and gender are deleted
And institution memberships are deleted
And the user row is retained as a tombstone with no personal data
And lifetime entries, achievements and certificates are retained, displayed as ""Withdrawn participant""
And fixtures, scores and standings are untouched
And audit entries are retained, using the denormalised actor label","Player, Sports Secretary","04b","P0","","",""
